# Stick Analyzer Results
# Test Duration: 2.73 seconds
# Version: 2.0.3.0
# Nonlinearity: 5.9%
# Raw Data
# Time,Position
0.00012,0.05099
0.02373,0.05884
0.04642,0.06668
0.06748,0.08237
0.08123,0.09021
0.10248,0.09805
0.12623,0.10590
0.15748,0.11374
0.18249,0.12158
0.19623,0.12943
0.19749,0.12158
0.19874,0.12943
0.20748,0.13727
0.21751,0.14511
0.23623,0.15295
0.28014,0.16864
0.29875,0.17648
0.31873,0.18433
0.32250,0.19217
0.35249,0.20001
0.35373,0.19217
0.35517,0.20001
0.35748,0.19217
0.35884,0.20001
0.38624,0.20786
0.39997,0.21570
0.40391,0.20786
0.40514,0.21570
0.42498,0.22354
0.45623,0.23138
0.45747,0.22354
0.45999,0.23138
0.48248,0.23923
0.49018,0.24707
0.50872,0.25491
0.50998,0.24707
0.51125,0.25491
0.52873,0.26276
0.56499,0.27060
0.57622,0.27844
0.60376,0.28629
0.62768,0.30197
0.63998,0.30981
0.64123,0.30197
0.64516,0.30981
0.64624,0.30197
0.65999,0.30981
0.66248,0.30197
0.66373,0.30981
0.70498,0.31766
0.71498,0.32550
0.72872,0.33334
0.75123,0.34119
0.76624,0.34903
0.79122,0.35687
0.79391,0.34903
0.79498,0.35687
0.81125,0.36472
0.81250,0.35687
0.81373,0.36472
0.84997,0.37256
0.86765,0.38040
0.88123,0.38824
0.89497,0.39609
0.89748,0.38824
0.89872,0.39609
0.91747,0.40393
0.92623,0.41177
0.94140,0.41962
0.97247,0.42746
0.97390,0.41962
0.97498,0.42746
0.98747,0.43530
1.03000,0.45099
1.05373,0.45883
1.07122,0.46667
1.09998,0.47452
1.13009,0.48236
1.14892,0.49020
1.16622,0.49805
1.18622,0.50589
1.21247,0.51373
1.23122,0.52158
1.23248,0.51373
1.23499,0.52158
1.26248,0.52942
1.29248,0.53726
1.31247,0.54510
1.31372,0.53726
1.31497,0.54510
1.32623,0.55295
1.34122,0.56079
1.36123,0.56863
1.40509,0.57648
1.43640,0.58432
1.45871,0.59216
1.48012,0.60001
1.48247,0.59216
1.48371,0.60001
1.51372,0.60785
1.54122,0.61569
1.56871,0.62354
1.61269,0.63138
1.63622,0.63922
1.66621,0.64706
1.69265,0.65491
1.71247,0.66275
1.77507,0.67059
1.79879,0.67844
1.80375,0.68628
1.82373,0.69412
1.84254,0.70197
1.87371,0.70981
1.90246,0.71765
1.91997,0.72549
1.93622,0.73334
1.97622,0.74118
1.97746,0.73334
1.97890,0.74118
2.00121,0.74902
2.02141,0.75687
2.04375,0.76471
2.07015,0.77255
2.08997,0.78040
2.12999,0.79608
2.15121,0.80392
2.15496,0.79608
2.15623,0.80392
2.18516,0.81177
2.20389,0.81961
2.20517,0.81177
2.20621,0.81961
2.21999,0.82745
2.23498,0.83530
2.25397,0.84314
2.27771,0.83530
2.27876,0.84314
2.29249,0.85098
2.31372,0.85883
2.34746,0.86667
2.37372,0.87451
2.37496,0.86667
2.37621,0.87451
2.39245,0.88235
2.39497,0.87451
2.39621,0.88235
2.39746,0.87451
2.39872,0.88235
2.43622,0.89020
2.47873,0.89804
2.50516,0.90588
2.51124,0.91373
2.52996,0.92157
2.54996,0.92941
2.56745,0.93726
2.59639,0.94510
2.62388,0.95294
2.63621,0.96078
2.63747,0.95294
2.63995,0.96078
2.67245,0.96863
2.70139,0.97647
2.71370,0.98431
2.72622,0.99216
