# Stick Analyzer Results
# Test Duration: 13.63 seconds
# Raw Data
# Time,Position
0.00025,0.05029
0.00102,0.05081
0.00203,0.05075
0.00302,0.05078
0.00402,0.05127
0.00500,0.05176
0.00604,0.05228
0.00709,0.05222
0.00807,0.05371
0.00916,0.05521
0.01006,0.05515
0.01104,0.05521
0.01203,0.05518
0.01304,0.05615
0.01402,0.05710
0.01502,0.05811
0.01601,0.05862
0.01707,0.05856
0.01802,0.05859
0.01908,0.05908
0.02309,0.05957
0.02408,0.06009
0.02503,0.06055
0.02816,0.06201
0.02903,0.06296
0.03002,0.06396
0.03104,0.06448
0.03206,0.06442
0.03303,0.06543
0.03403,0.06595
0.03506,0.06589
0.03603,0.06595
0.03709,0.06592
0.03801,0.06689
0.03915,0.06735
0.04006,0.06741
0.04117,0.06735
0.04199,0.06738
0.04305,0.06787
0.04408,0.06839
0.04503,0.06934
0.04607,0.06979
0.04704,0.06985
0.04803,0.07080
0.04903,0.07126
0.05004,0.07178
0.05102,0.07230
0.05205,0.07224
0.05304,0.07275
0.05416,0.07376
0.05502,0.07373
0.05604,0.07422
0.05806,0.07520
0.05904,0.07614
0.06001,0.07715
0.06101,0.07816
0.06212,0.07861
0.06302,0.07907
0.06402,0.07913
0.06505,0.07907
0.06603,0.07910
0.06801,0.07959
0.07302,0.08008
0.07410,0.08109
0.07501,0.08154
0.07602,0.08151
0.07702,0.08157
0.07802,0.08252
0.07904,0.08347
0.08005,0.08398
0.08104,0.08499
0.08201,0.08493
0.08305,0.08496
0.08801,0.08594
0.08907,0.08646
0.09001,0.08640
0.09108,0.08646
0.09202,0.08643
0.09302,0.08691
0.09402,0.08737
0.09505,0.08743
0.09603,0.08737
0.09705,0.08740
0.09802,0.08691
0.09911,0.08646
0.10005,0.08640
0.10110,0.08646
0.10207,0.08643
0.10502,0.08740
0.10602,0.08884
0.10704,0.08890
0.10804,0.08887
0.11102,0.08984
0.11203,0.09030
0.11303,0.08984
0.11403,0.08890
0.11505,0.08984
0.11604,0.09030
0.11702,0.09036
0.11802,0.09082
0.11901,0.09128
0.12004,0.09134
0.12105,0.09128
0.12208,0.09131
0.12509,0.09180
0.12612,0.09232
0.12702,0.09225
0.12801,0.09277
0.13309,0.09375
0.13402,0.09427
0.13502,0.09521
0.13601,0.09567
0.13703,0.09573
0.13801,0.09717
0.13902,0.09811
0.13999,0.09818
0.14108,0.09912
0.14203,0.09958
0.14302,0.09964
0.14402,0.09958
0.14509,0.10059
0.14609,0.10159
0.14702,0.10153
0.14805,0.10254
0.14911,0.10355
0.15007,0.10400
0.15302,0.10498
0.15404,0.10544
0.15503,0.10596
0.15603,0.10648
0.15703,0.10641
0.15807,0.10693
0.15903,0.10794
0.16003,0.10788
0.16101,0.10889
0.16205,0.10941
0.16302,0.11035
0.16417,0.11081
0.16503,0.11133
0.16604,0.11185
0.16703,0.11179
0.16807,0.11279
0.16910,0.11380
0.17003,0.11374
0.17104,0.11380
0.17202,0.11426
0.17304,0.11472
0.17402,0.11478
0.17504,0.11523
0.17602,0.11569
0.17702,0.11575
0.17800,0.11719
0.17911,0.11862
0.18003,0.11914
0.18209,0.12012
0.18305,0.12112
0.18401,0.12207
0.18502,0.12302
0.18610,0.12308
0.18708,0.12302
0.18803,0.12402
0.18920,0.12503
0.19012,0.12598
0.19113,0.12643
0.19210,0.12598
0.19313,0.12503
0.19404,0.12497
0.19527,0.12598
0.19609,0.12650
0.19713,0.12643
0.19810,0.12744
0.19915,0.12796
0.20009,0.12842
0.20204,0.12939
0.20317,0.12985
0.20412,0.12991
0.20511,0.12985
0.20612,0.12988
0.20814,0.13086
0.20906,0.13187
0.21019,0.13135
0.21115,0.13083
0.21217,0.13089
0.21312,0.13083
0.21413,0.13086
0.21810,0.13037
0.21918,0.12991
0.22015,0.12939
0.22116,0.12839
0.22213,0.12845
0.22308,0.12839
0.22411,0.12842
0.23013,0.12939
0.23109,0.12991
0.23209,0.13037
0.23311,0.13083
0.23407,0.13037
0.23508,0.12991
0.23608,0.12985
0.23708,0.12991
0.23808,0.13086
0.23906,0.13181
0.24007,0.13232
0.24211,0.13330
0.24311,0.13382
0.24409,0.13376
0.24512,0.13382
0.24614,0.13379
0.24810,0.13428
0.24905,0.13474
0.25010,0.13480
0.25113,0.13474
0.25207,0.13477
0.26012,0.13525
0.26108,0.13528
0.26215,0.13574
0.26310,0.13620
0.26408,0.13626
0.26509,0.13620
0.26620,0.13623
0.27012,0.13721
0.27111,0.13773
0.27219,0.13721
0.27309,0.13620
